ID,STATE,CONSTITUENCY,CANDIDATE,PARTY,VOTES
6172,Arunachal Pradesh,ARUNACHAL EAST,NINONG ERING,Indian National Congress,118455
6173,Arunachal Pradesh,ARUNACHAL EAST,TAPIR GAO,Bharatiya Janata Party,105977
6174,Arunachal Pradesh,ARUNACHAL EAST,WANGMAN LOWANGCHA,People's Party of Arunachal,32354
6175,Arunachal Pradesh,ARUNACHAL EAST,None of the Above,None of the Above,4505
6176,Uttar Pradesh,Sant Kabir Nagar,SHARAD TRIPATHI,Bharatiya Janata Party,348892
6177,Uttar Pradesh,Sant Kabir Nagar,BHISM SHANKAR ALIAS KUSHAL TIWARI,Bahujan Samaj Party,250914
6178,Uttar Pradesh,Sant Kabir Nagar,BHAL CHANDRA YADAV,Samajwadi Party,240169
6179,Uttar Pradesh,Sant Kabir Nagar,RAJARAM,Peace Party,69193
6180,Uttar Pradesh,Sant Kabir Nagar,ROHIT KUMAR PANDEY,Indian National Congress,22029
6181,Uttar Pradesh,Sant Kabir Nagar,APARNA,Independent,11046
6182,Uttar Pradesh,Sant Kabir Nagar,SHABBEER HUSEN,Jai Hind Samaj Party,8993
6183,Uttar Pradesh,Sant Kabir Nagar,AFTAB ALAM KHAN,Aam Aadmi Party,7458
6184,Uttar Pradesh,Sant Kabir Nagar,SURENDRA KUMAR CHAUDHARY,Independent,5866
6185,Uttar Pradesh,Sant Kabir Nagar,RAJMANI,Bahujan Mukti Party,5036
6186,Uttar Pradesh,Sant Kabir Nagar,MOHAMMAD ALI,Parcham Party of India,4082
6187,Uttar Pradesh,Sant Kabir Nagar,SANT SIROMANI BABOOLAL YADAV MAHARAJ JI,Suheldev Bhartiya Samaj Party,3900
6188,Uttar Pradesh,Sant Kabir Nagar,LOTAN URF LAUTAN PRASAD,Shoshit Samaj Dal,3618
6189,Uttar Pradesh,Sant Kabir Nagar,KAILASH NATH BELDAR,Independent,3181
6190,Uttar Pradesh,Sant Kabir Nagar,SUBODH CHANDRA,Independent,3061
6191,Uttar Pradesh,Sant Kabir Nagar,AMIT,Independent,2796
6192,Uttar Pradesh,Sant Kabir Nagar,JANTRI LAL CHAUHAN,Janvadi Party(Socialist),2439
6193,Uttar Pradesh,Sant Kabir Nagar,RAJENDRA KUMAR,Rashtriya Janwadi Party (Krantikari),2278
6194,Uttar Pradesh,Sant Kabir Nagar,MOHAMMAD IRFAN,Independent,2164
6195,Uttar Pradesh,Sant Kabir Nagar,PREM PRAKASH,Indian Peace Party,2155
6196,Uttar Pradesh,Sant Kabir Nagar,JYOTI SINGH,Bahujan Sangharsh Party (Kanshiram),1884
6197,Uttar Pradesh,Sant Kabir Nagar,RAVIKANT,Most Backward Classes Of India,1721
6198,Uttar Pradesh,Sant Kabir Nagar,SHAYAM LAL,Independent,1477
6199,Uttar Pradesh,Sant Kabir Nagar,JAIYANTRI PRASAD,Independent,1335
6200,Uttar Pradesh,Sant Kabir Nagar,KRIPANARAYAN RAI,Independent,1215
6201,Uttar Pradesh,Sant Kabir Nagar,None of the Above,None of the Above,4747
6202,Uttar Pradesh,Maharajganj,PANKAJ,Bharatiya Janata Party,471542
6203,Uttar Pradesh,Maharajganj,KASHI NATH SHUKLA,Bahujan Samaj Party,231084
6204,Uttar Pradesh,Maharajganj,AKHILESH,Samajwadi Party,213974
6205,Uttar Pradesh,Maharajganj,HARSH VARDHAN,Indian National Congress,57193
6206,Uttar Pradesh,Maharajganj,ANIL KUMAR SHAHANI,Independent,15517
6207,Uttar Pradesh,Maharajganj,TEJ PRATAP,Independent,6131
6208,Uttar Pradesh,Maharajganj,SHREE AKHILESH KUMAR,Apna Dal United Party,5422
6209,Uttar Pradesh,Maharajganj,KAVILAS,Suheldev Bhartiya Samaj Party,5195
6210,Uttar Pradesh,Maharajganj,RAMSAMUJH,Swaraj (J),5001
6211,Uttar Pradesh,Maharajganj,GOVIND DAS,Independent,4216
6212,Uttar Pradesh,Maharajganj,DAYARAM NISHAD,Independent,4210
6213,Uttar Pradesh,Maharajganj,AJAYDHAR,Independent,4079
6214,Uttar Pradesh,Maharajganj,ARAT KHARVAR,Bahujan Mukti Party,3752
6215,Uttar Pradesh,Maharajganj,MUMMATAJ,Peace Party,3582
6216,Uttar Pradesh,Maharajganj,SHIVCHARAN,Jai Hind Samaj Party,3455
6217,Uttar Pradesh,Maharajganj,PASHUPATI NATH GUPTA,Aam Aadmi Party,3196
6218,Uttar Pradesh,Maharajganj,RAKESH KUMAR GIRI,Independent,2545
6219,Uttar Pradesh,Maharajganj,VIMLESH TRIPATHI,Naitik Party,2339
6220,Uttar Pradesh,Maharajganj,DINANATH,Independent,2149
6221,Uttar Pradesh,Maharajganj,RADHEYSHYAM,Most Backward Classes Of India,1961
6222,Uttar Pradesh,Maharajganj,RAKESH KUMAR GUPTA,Independent,1828
6223,Uttar Pradesh,Maharajganj,DINESH KUMAR,Independent,1671
6224,Uttar Pradesh,Maharajganj,MANGAL LAL,Lok Dal,1491
6225,Uttar Pradesh,Maharajganj,None of the Above,None of the Above,4545
6226,Uttar Pradesh,Gorakhpur,ADITYANATH,Bharatiya Janata Party,539127
6227,Uttar Pradesh,Gorakhpur,RAJMATI NISHAD,Samajwadi Party,226344
6228,Uttar Pradesh,Gorakhpur,RAM BHUAL NISHAD,Bahujan Samaj Party,176412
6229,Uttar Pradesh,Gorakhpur,ASTBHUJA PRASAD TRIPATHI,Indian National Congress,45719
6230,Uttar Pradesh,Gorakhpur,RADHE MOHAN MISRA,Aam Aadmi Party,11873
6231,Uttar Pradesh,Gorakhpur,ACHHE LAL GUPTA,Independent,5339
6232,Uttar Pradesh,Gorakhpur,FAIZ AHAMAD FAIZI,Peace Party,5046
6233,Uttar Pradesh,Gorakhpur,RAMKISHUN,Independent,4387
6234,Uttar Pradesh,Gorakhpur,ASHOK,Independent,4194
6235,Uttar Pradesh,Gorakhpur,MUNNA,Swarajya Party Of India,4024
6236,Uttar Pradesh,Gorakhpur,INDRA DEO YADAVA,Bhartiya Shakti Chetna Party,2398
6237,Uttar Pradesh,Gorakhpur,SUBASH KUMAR MAURYA,Rashtriya Janwadi Party (Krantikari),2123
6238,Uttar Pradesh,Gorakhpur,MOHD. WASEEM KHAN,Bahujan Mukti Party,2016
6239,Uttar Pradesh,Gorakhpur,RAJESH,Communist Party of India (Marxist-Leninist) (Liberation),1873
6240,Uttar Pradesh,Gorakhpur,RAJIT MISHRA,Naitik Party,1171
6241,Uttar Pradesh,Gorakhpur,None of the Above,None of the Above,8153
6242,Uttar Pradesh,Kushi Nagar,RAJESH PANDEY URF GUDDU,Bharatiya Janata Party,370051
6243,Uttar Pradesh,Kushi Nagar,KUNWAR RATANJIT PRATAP NARAIN SINGH,Indian National Congress,284511
6244,Uttar Pradesh,Kushi Nagar,DR. SANGAM MISHRA,Bahujan Samaj Party,132881
6245,Uttar Pradesh,Kushi Nagar,RADHE SHYAM SINGH,Samajwadi Party,111256
6246,Uttar Pradesh,Kushi Nagar,KASHEEM ALI,Peace Party,9024
6247,Uttar Pradesh,Kushi Nagar,RAMDHANEE,Deshbhakt Nirman Party,5485
6248,Uttar Pradesh,Kushi Nagar,RAMPRATAP,Janata Dal (United),4805
6249,Uttar Pradesh,Kushi Nagar,MARKANDE,Bahujan Mukti Party,4270
6250,Uttar Pradesh,Kushi Nagar,AMEERUDDIN,Apna Dal United Party,3843
6251,Uttar Pradesh,Kushi Nagar,AKHAND,Aam Aadmi Party,3802
6252,Uttar Pradesh,Kushi Nagar,ARVIND,Swaraj (J),3630
6253,Uttar Pradesh,Kushi Nagar,JAHID,Suheldev Bhartiya Samaj Party,2677
6254,Uttar Pradesh,Kushi Nagar,BACHCHOOLAAL,Most Backward Classes Of India,2145
6255,Uttar Pradesh,Kushi Nagar,GOBARDHAN PRASAD,Socialist Party (India),1963
6256,Uttar Pradesh,Kushi Nagar,None of the Above,None of the Above,10102
6257,Uttar Pradesh,Deoria,KALRAJ MISHRA,Bharatiya Janata Party,496500
6258,Uttar Pradesh,Deoria,NIYAJ AHMAD,Bahujan Samaj Party,231114
6259,Uttar Pradesh,Deoria,BALESHWAR YADAV,Samajwadi Party,150852
6260,Uttar Pradesh,Deoria,SABHA KUNWAR,Indian National Congress,37752
6261,Uttar Pradesh,Deoria,RAM PRAVESH,Bharatiya Ekta Dal,6408
6262,Uttar Pradesh,Deoria,HEMANT KISHOR SRIVASTAVA,Independent,5763
6263,Uttar Pradesh,Deoria,RAJU,Moderate Party,5406
6264,Uttar Pradesh,Deoria,SHYAM SUNDAR,Peace Party,5130
6265,Uttar Pradesh,Deoria,AROON KUMAR TRIPATHI,Aam Aadmi Party,4952
6266,Uttar Pradesh,Deoria,UMESH,Suheldev Bhartiya Samaj Party,4343
6267,Uttar Pradesh,Deoria,BARKHA KINNAR,Independent,4124
6268,Uttar Pradesh,Deoria,VED PRAKASH MALL,Janata Dal (United),1916
6269,Uttar Pradesh,Deoria,RAM PREET,Most Backward Classes Of India,1906
6270,Uttar Pradesh,Deoria,INTZARUL,Bahujan Mukti Party,1833
6271,Uttar Pradesh,Deoria,AWADH KISHOR NIGAM,Adarsh Rashtriya Vikas Party,1153
6272,Uttar Pradesh,Deoria,None of the Above,None of the Above,12405
6273,Uttar Pradesh,Bansgaon,KAMLESH PASWAN,Bharatiya Janata Party,417959
6274,Uttar Pradesh,Bansgaon,SADAL PRASAD,Bahujan Samaj Party,228443
6275,Uttar Pradesh,Bansgaon,GORAKH PRASAD PASWAN,Samajwadi Party,133675
6276,Uttar Pradesh,Bansgaon,SANJAI KUMAR,Indian National Congress,50675
6277,Uttar Pradesh,Bansgaon,LALCHAND PRASAD JATAV,Ambedkar Samaj Party,9769
6278,Uttar Pradesh,Bansgaon,RAMNIVAS PASWAN,Aam Aadmi Party,5236
6279,Uttar Pradesh,Bansgaon,KUNJAWATI,Independent,4346
6280,Uttar Pradesh,Bansgaon,SHEO SHANKAR,Independent,4013
6281,Uttar Pradesh,Bansgaon,RAMPRIT JAKHMEE,Bahujan Mukti Party,3080
6282,Uttar Pradesh,Bansgaon,RAMNARESH,Indian Savarn Samaj Party,2963
6283,Uttar Pradesh,Bansgaon,ARJUN PRASAD RAW,Bhartiya Sarvjan Party,2896
6284,Uttar Pradesh,Bansgaon,CHANDRIKA PRASAD BHARATI,Rashtriya Janwadi Party (Krantikari),1327
6285,Uttar Pradesh,Bansgaon,None of the Above,None of the Above,13495
6286,Uttar Pradesh,Lalganj,NEELAM SONKAR,Bharatiya Janata Party,324016
6287,Uttar Pradesh,Lalganj,BECHAI SAROJ,Samajwadi Party,260930
6288,Uttar Pradesh,Lalganj,DR. BALIRAM,Bahujan Samaj Party,233971
6289,Uttar Pradesh,Lalganj,BALIHARI BABU,Indian National Congress,21832
6290,Uttar Pradesh,Lalganj,PRADEEP KUMAR,Rashtriya Ulama Council,14368
6291,Uttar Pradesh,Lalganj,HARIPRASAD SONKAR,Communist Party of India,10523
6292,Uttar Pradesh,Lalganj,JIYA LAL,Aam Aadmi Party,5668
6293,Uttar Pradesh,Lalganj,SHRIPATI,Qaumi Ekta Dal,4620
6294,Uttar Pradesh,Lalganj,ACHCHHELAL,Independent,4536
6295,Uttar Pradesh,Lalganj,JANGBAHADUR,Independent,3307
6296,Uttar Pradesh,Lalganj,AVADHESH,Independent,2129
6297,Uttar Pradesh,Lalganj,LAL BAHADUR,Bahujan Mukti Party,1911
6298,Uttar Pradesh,Lalganj,DINESH KUMAR,Asankhya Samaj Party,1733
6299,Uttar Pradesh,Lalganj,SUKHANAYAN,Jan Shakti Ekta Party,1398
6300,Uttar Pradesh,Lalganj,None of the Above,None of the Above,7713
6301,Uttar Pradesh,Azamgarh,MULAYAM SINGH YADAV,Samajwadi Party,340306
6302,Uttar Pradesh,Azamgarh,RAMAKANT YADAV,Bharatiya Janata Party,277102
6303,Uttar Pradesh,Azamgarh,SHAH ALAM ALIAS GUDDU JAMALI,Bahujan Samaj Party,266528
6304,Uttar Pradesh,Azamgarh,ARVIND KUMAR JAISWAL,Indian National Congress,17950
6305,Uttar Pradesh,Azamgarh,M. AMIR RASHADI,Rashtriya Ulama Council,13271
6306,Uttar Pradesh,Azamgarh,MADAN,All India Trinamool Congress,5207
6307,Uttar Pradesh,Azamgarh,SHAMSHAD AHMAD,Independent,4875
6308,Uttar Pradesh,Azamgarh,SANJAY KUMAR CHATURVEDI,Indian Savarn Samaj Party,4051
6309,Uttar Pradesh,Azamgarh,SANTOSH KUMAR GAUTAM,Manavtawadi Samaj Party,3866
6310,Uttar Pradesh,Azamgarh,PRAMOD SINGH,Independent,3752
6311,Uttar Pradesh,Azamgarh,SANJAY CHAUHAN,Independent,3517
6312,Uttar Pradesh,Azamgarh,RAJESH YADAV,Aam Aadmi Party,3082
6313,Uttar Pradesh,Azamgarh,RAM SINGH CHAUHAN,Independent,2507
6314,Uttar Pradesh,Azamgarh,PRAKASH CHANDRA,Sanatan Sanskriti Raksha Dal,2103
6315,Uttar Pradesh,Azamgarh,SUGRIV CHAUHAN,Independent,1882
6316,Uttar Pradesh,Azamgarh,RAJDHARI RAJBHAR,Moolniwasi Samaj Party,1695
6317,Uttar Pradesh,Azamgarh,DURG VIJAY YADAV,Bahujan Mukti Party,1566
6318,Uttar Pradesh,Azamgarh,KIRAN SHARAMA,Bhartiya Shakti Chetna Party,1298
6319,Uttar Pradesh,Azamgarh,None of the Above,None of the Above,5660
6320,Uttar Pradesh,Ghosi,HARINARAYAN RAJBHAR,Bharatiya Janata Party,379797
6321,Uttar Pradesh,Ghosi,DARA SINGH CHAUHAN,Bahujan Samaj Party,233782
6322,Uttar Pradesh,Ghosi,MOKHTAR ANSARI,Qaumi Ekta Dal,166443
6323,Uttar Pradesh,Ghosi,RAJEEV KUMAR RAI,Samajwadi Party,165887
6324,Uttar Pradesh,Ghosi,RASHTRA KUNWAR SINGH,Indian National Congress,19315
6325,Uttar Pradesh,Ghosi,ATUL KUMAR SINGH ANJAAN,Communist Party of India,18162
6326,Uttar Pradesh,Ghosi,DOODHNATH CHAUHAN,Independent,8163
6327,Uttar Pradesh,Ghosi,BADRI NATH YADAV,Rashtriya Congress(J) Party,7650
6328,Uttar Pradesh,Ghosi,DR. SHAMEEM ABIDI,Peace Party,7581
6329,Uttar Pradesh,Ghosi,MANISH KUMAR RAI,Aam Aadmi Party,4188
6330,Uttar Pradesh,Ghosi,HARISH CHANDRA,Rashtriya Janwadi Party (Krantikari),4130
6331,Uttar Pradesh,Ghosi,SURYA KUMAR,Independent,4030
6332,Uttar Pradesh,Ghosi,VIJAY KUMAR UPADHYAY,Rashtriya Krantikari Samajwadi Party,3826
6333,Uttar Pradesh,Ghosi,HEMANT KUMAR,Bhartiya Sarvjan Party,2949
6334,Uttar Pradesh,Ghosi,VISHUN DAYAL,Independent,2721
6335,Uttar Pradesh,Ghosi,RAVI SHANKAR BHARAT,Jan Raajya Party,2543
6336,Uttar Pradesh,Ghosi,RAJKUMAR CHAUHAN,Janvadi Party(Socialist),2246
6337,Uttar Pradesh,Ghosi,HARINATH,Naitik Party,1786
6338,Uttar Pradesh,Ghosi,None of the Above,None of the Above,4457
6339,Uttar Pradesh,Salempur,RAVINDRA KUSHAWAHA,Bharatiya Janata Party,392213
6340,Uttar Pradesh,Salempur,RAVI SHANKER SINGHPAPPU,Bahujan Samaj Party,159871
6341,Uttar Pradesh,Salempur,HARIBANSH SAHAI KUSHWAHA,Samajwadi Party,159688
6342,Uttar Pradesh,Salempur,OM PRAKASH RAJBHAR,Suheldev Bhartiya Samaj Party,66084
6343,Uttar Pradesh,Salempur,DR.BHOLA PANDEY,Indian National Congress,41890
6344,Uttar Pradesh,Salempur,ONKAR SINGH,Samajwadi Samaj Party,4947
6345,Uttar Pradesh,Salempur,RAM KRIPAL,Independent,4377
6346,Uttar Pradesh,Salempur,CHANDRA PRATAP SINGH,Aam Aadmi Party,4263
6347,Uttar Pradesh,Salempur,SUSHANT RAJ PATHAK,Independent,3631
6348,Uttar Pradesh,Salempur,SHRIRAM CHAUDHARY,Communist Party of India (Marxist-Leninist) (Liberation),3572
6349,Uttar Pradesh,Salempur,SIYARAM DAS,Independent,2709
6350,Uttar Pradesh,Salempur,DR SANJAY KR. SINGH,Janata Dal (United),1675
6351,Uttar Pradesh,Salempur,FIROZ AKHTAR,Rashtriya Ulama Council,1507
6352,Uttar Pradesh,Salempur,None of the Above,None of the Above,8322
6353,Assam,Karimganj,RADHESHYAM BISWAS,All India United Democratic Front,362866
6354,Assam,Karimganj,KRISHNA DAS,Bharatiya Janata Party,260772
6355,Assam,Karimganj,LALIT MOHON SUKLABAIDYA,Indian National Congress,226562
6356,Assam,Karimganj,RABINDRA NATH CHOUDHURY,Asom Gana Parishad,5556
6357,Assam,Karimganj,TARUN KUMAR DAS,Aam Aadmi Party,3658
6358,Assam,Karimganj,SUJIT MALLICK,Independent,3437
6359,Assam,Karimganj,PROBASH CH. SARKAR,SOCIALIST UNITY CENTRE OF INDIA (COMMUNIST),3114
6360,Assam,Karimganj,SAJALENDU MALAKAR,Independent,2465
6361,Assam,Karimganj,GOUTAM MALAKAR,Independent,2447
6362,Assam,Karimganj,PRADIP SUKLABAIDYA,Independent,2392
6363,Assam,Karimganj,RINKU MALAKAR,Samajwadi Party,2275
6364,Assam,Karimganj,SABUJ DAS,Independent,1974
6365,Assam,Karimganj,SANJIT KUMAR DAS,Independent,1880
6366,Assam,Karimganj,PINTU MALAKAR,Independent,1664
6367,Assam,Karimganj,MAHANANDA DAS,Independent,1592
6368,Assam,Karimganj,None of the Above,None of the Above,4266
6369,Uttar Pradesh,Ballia,BHARAT SINGH,Bharatiya Janata Party,359758
6370,Uttar Pradesh,Ballia,NEERAJ SHEKHAR,Samajwadi Party,220324
6371,Uttar Pradesh,Ballia,AFZAL ANSARI,Qaumi Ekta Dal,163943
6372,Uttar Pradesh,Ballia,VIRENDRA KUMAR PATHAK,Bahujan Samaj Party,141684
6373,Uttar Pradesh,Ballia,SUDHA RAI,Indian National Congress,13501
6374,Uttar Pradesh,Ballia,MANOJ,Independent,6833
6375,Uttar Pradesh,Ballia,RAMROOP,Jai Hind Samaj Party,6435
6376,Uttar Pradesh,Ballia,MANISH,Independent,6166
6377,Uttar Pradesh,Ballia,SHESHNATH,Independent,3674
6378,Uttar Pradesh,Ballia,COL(RETD) BHARAT SINGH SHAURYA CHAKRA,Aam Aadmi Party,3297
6379,Uttar Pradesh,Ballia,BHOLA NATH,Independent,2815
6380,Uttar Pradesh,Ballia,AVADHESH VERMA,Bahujan Mukti Party,2529
6381,Uttar Pradesh,Ballia,SUCHIT GOND,Gondvana Gantantra Party,2506
6382,Uttar Pradesh,Ballia,RAMJI,Bharatiya Samaj Dal,1096
6383,Uttar Pradesh,Ballia,MANNU YADAV,Naitik Party,980
6384,Uttar Pradesh,Ballia,None of the Above,None of the Above,6670
6385,Uttar Pradesh,Jaunpur,KRISHNA PRATAP 'K.P.',Bharatiya Janata Party,367149
6386,Uttar Pradesh,Jaunpur,SUBHASH PANDEY,Bahujan Samaj Party,220839
6387,Uttar Pradesh,Jaunpur,PARASNATH YADAV,Samajwadi Party,180003
6388,Uttar Pradesh,Jaunpur,DHANANJAY SINGH,Independent,64137
6389,Uttar Pradesh,Jaunpur,DR. K. P. YADAV,Aam Aadmi Party,43471
6390,Uttar Pradesh,Jaunpur,RAVI KISHAN,Indian National Congress,42759
6391,Uttar Pradesh,Jaunpur,RAVIKANT YADAV,Independent,20832
6392,Uttar Pradesh,Jaunpur,SHAHABUDDIN,Rashtriya Ulama Council,19636
6393,Uttar Pradesh,Jaunpur,JOGENDRA PRASAD,Independent,7281
6394,Uttar Pradesh,Jaunpur,PRAMOD KUMAR ALIAS PRAMOD BHAI PATEL,Samyak Parivartan Party,7206
6395,Uttar Pradesh,Jaunpur,PREMCHAND BIND,Pragatisheel Manav Samaj Party,6814
6396,Uttar Pradesh,Jaunpur,ANUPATI RAM YADAV,Bahujan Mukti Party,4026
6397,Uttar Pradesh,Jaunpur,YOGISH CHANDRA DUBEY,Independent,2773
6398,Uttar Pradesh,Jaunpur,ANIL KUMAR SINGH,Independent,2694
6399,Uttar Pradesh,Jaunpur,RAVISHANKAR MAURYA,SOCIALIST UNITY CENTRE OF INDIA (COMMUNIST),2608
6400,Uttar Pradesh,Jaunpur,RAJESH PRAJAPATI,Sarvshreshth Dal,2329
6401,Uttar Pradesh,Jaunpur,ARVIND,Suheldev Bhartiya Samaj Party,2204
6402,Uttar Pradesh,Jaunpur,VIMAL KUMAR YADAV,Independent,2109
6403,Uttar Pradesh,Jaunpur,SARFARAJ,Peace Party,2064
6404,Uttar Pradesh,Jaunpur,DR. SANJIVAN BIND,Independent,1863
6405,Uttar Pradesh,Jaunpur,GULAB CHAND DUBEY,Shivsena,1751
6406,Uttar Pradesh,Jaunpur,None of the Above,None of the Above,2595
6407,Uttar Pradesh,Machhlishahr,RAM CHARITRA NISHAD,Bharatiya Janata Party,438210
6408,Uttar Pradesh,Machhlishahr,BHOLANATH ALIAS B.P. SAROJ,Bahujan Samaj Party,266055
6409,Uttar Pradesh,Machhlishahr,TUFANI,Samajwadi Party,191387
6410,Uttar Pradesh,Machhlishahr,TUFANI NISHAD,Indian National Congress,36275
6411,Uttar Pradesh,Machhlishahr,SUBAS CHANDRA,Communist Party of India,18777
6412,Uttar Pradesh,Machhlishahr,RAJ ALIAS VIRENDRA KUMAR SONKAR,Aam Aadmi Party,9223
6413,Uttar Pradesh,Machhlishahr,SHRAVAN KUMAR PASWAN,Independent,7833
6414,Uttar Pradesh,Machhlishahr,HARINATH,Independent,5279
6415,Uttar Pradesh,Machhlishahr,RAJESH SONKAR,Independent,4362
6416,Uttar Pradesh,Machhlishahr,OMPRAKASH ALIAS AMBEDKAR,Independent,2708
6417,Uttar Pradesh,Machhlishahr,HARI,Suheldev Bhartiya Samaj Party,2669
6418,Uttar Pradesh,Machhlishahr,SIKANDAR,Bahujan Mukti Party,2114
6419,Uttar Pradesh,Machhlishahr,RAJESH,Janata Dal (United),1552
6420,Uttar Pradesh,Machhlishahr,LALJI,Bhartiya Shakti Chetna Party,1543
6421,Uttar Pradesh,Machhlishahr,SURESH GAUTAM,Adarsh Rashtriya Vikas Party,1467
6422,Uttar Pradesh,Machhlishahr,None of the Above,None of the Above,8448
6423,Uttar Pradesh,Ghazipur,MANOJ SINHA,Bharatiya Janata Party,306929
6424,Uttar Pradesh,Ghazipur,SMT SHIVKANYA KUSHWAHA,Samajwadi Party,274477
6425,Uttar Pradesh,Ghazipur,KAILASH NATH SINGH YADAV,Bahujan Samaj Party,241645
6426,Uttar Pradesh,Ghazipur,DHARM YADAV ALIAS D.P.YADAV,Rashtriya Parivartan Dal,59510
6427,Uttar Pradesh,Ghazipur,ARUN KUMAR SINGH,Independent,34093
6428,Uttar Pradesh,Ghazipur,MO. MAKSUD KHAN,Indian National Congress,18908
6429,Uttar Pradesh,Ghazipur,BRIJ BHUSHAN,Aam Aadmi Party,6925
6430,Uttar Pradesh,Ghazipur,ISHWARI,Communist Party of India (Marxist-Leninist) (Liberation),6512
6431,Uttar Pradesh,Ghazipur,SATYA DEV YADAV,Naitik Party,6381
6432,Uttar Pradesh,Ghazipur,KUBER,Independent,4889
6433,Uttar Pradesh,Ghazipur,ISHWAR DEV,Adarsh Rashtriya Vikas Party,4019
6434,Uttar Pradesh,Ghazipur,PAPPU,Eklavya Samaj Party,3585
6435,Uttar Pradesh,Ghazipur,RAJENDRA NATH RAM,Bahujan Mukti Party,3468
6436,Uttar Pradesh,Ghazipur,BHARAT,Janta Raj Party,2484
6437,Uttar Pradesh,Ghazipur,OMKAR CHAUHAN,Janvadi Party(Socialist),2416
6438,Uttar Pradesh,Ghazipur,DEENDAYAL,Pragatisheel Manav Samaj Party,2122
6439,Uttar Pradesh,Ghazipur,LAKSHAMAN,Independent,1588
6440,Uttar Pradesh,Ghazipur,GUPTESHWAR,Lok Dal,1111
6441,Uttar Pradesh,Ghazipur,None of the Above,None of the Above,5611
6442,Uttar Pradesh,Chandauli,DR MAHENDRA NATH PANDEY,Bharatiya Janata Party,414135
6443,Uttar Pradesh,Chandauli,ANIL KUMAR MAURYA,Bahujan Samaj Party,257379
6444,Uttar Pradesh,Chandauli,RAMKISHUN,Samajwadi Party,204145
6445,Uttar Pradesh,Chandauli,TARUN PATEL URF TARUNENDRA CHAND PATEL,Indian National Congress,27194
6446,Uttar Pradesh,Chandauli,IRSHAD,Aam Aadmi Party,15598
6447,Uttar Pradesh,Chandauli,DR. HARIDWAR SINGH YADAV,Janata Dal (United),8756
6448,Uttar Pradesh,Chandauli,RAJENDRA,Pragatisheel Manav Samaj Party,7767
6449,Uttar Pradesh,Chandauli,RAJA JAISWAL,All India Trinamool Congress,6170
6450,Uttar Pradesh,Chandauli,SANJEEV SINGH,Suheldev Bhartiya Samaj Party,4993
6451,Uttar Pradesh,Chandauli,HEERALAL,Bahujan Mukti Party,4768
6452,Uttar Pradesh,Chandauli,RAJNARAYAN,Independent,4221
6453,Uttar Pradesh,Chandauli,VINAI KUMAR SINGH,Indian National League,3882
6454,Uttar Pradesh,Chandauli,SHASHI SINHA,Ex-Sainik Kissan Party,2988
6455,Uttar Pradesh,Chandauli,BINDU,Independent,2769
6456,Uttar Pradesh,Chandauli,JITENDRA,Gondvana Gantantra Party,2502
6457,Uttar Pradesh,Chandauli,RAM DULAR,Communist Party of India (Marxist-Leninist) (Liberation),2386
6458,Uttar Pradesh,Chandauli,SANJAY,Independent,2148
6459,Uttar Pradesh,Chandauli,GULAVAS,Independent,1482
6460,Uttar Pradesh,Chandauli,RAMASHANKER SINGH MAURYA,Bhartiya Samajik Kranti Dal,1423
6461,Uttar Pradesh,Chandauli,CHANCHAL,Janta Raj Party,1362
6462,Uttar Pradesh,Chandauli,MRITUNJAYA PANDEY,Jan Raksha Party,1318
6463,Uttar Pradesh,Chandauli,None of the Above,None of the Above,3186
6464,Uttar Pradesh,Varanasi,NARENDRA MODI,Bharatiya Janata Party,581022
6465,Uttar Pradesh,Varanasi,ARVIND KEJRIWAL,Aam Aadmi Party,209238
6466,Uttar Pradesh,Varanasi,AJAY RAI,Indian National Congress,75614
6467,Uttar Pradesh,Varanasi,VIJAY PRAKASH JAISAWAL,Bahujan Samaj Party,60579
6468,Uttar Pradesh,Varanasi,KAILASH CHAURASIYA,Samajwadi Party,45291
6469,Uttar Pradesh,Varanasi,RAJESH BHARTI SURYA,Rashtriya Ambedkar Dal,4327
6470,Uttar Pradesh,Varanasi,ARUN,Bhartiya Shakti Chetna Party,3634
6471,Uttar Pradesh,Varanasi,SARVESH KUMAR GUPTA,Independent,3023
6472,Uttar Pradesh,Varanasi,BASEER KINNAR,Independent,2850
6473,Uttar Pradesh,Varanasi,INDIRA TIWARI,All India Trinamool Congress,2674
6474,Uttar Pradesh,Varanasi,HIRALAL YADAV,Communist Party of India (Marxist),2457
6475,Uttar Pradesh,Varanasi,IFTEKHAR KURAISHI,Independent,2323
6476,Uttar Pradesh,Varanasi,NARENDRA NATH DUBEY ADIG,Jan Shakti Ekta Party,2277
6477,Uttar Pradesh,Varanasi,A.K. AGGARWAL,Agar Jan Party,2037
6478,Uttar Pradesh,Varanasi,SHIVHARI AGARWAL,Bharat Nirman Party,2000
6479,Uttar Pradesh,Varanasi,PRAMOD KUMAR,Independent,1807
6480,Uttar Pradesh,Varanasi,DEVI PRASAD NAND,Moulik Adhikar Party,1740
6481,Uttar Pradesh,Varanasi,ABHIMANYU SINGH PATEL,Bahujan Mukti Party,1644
6482,Uttar Pradesh,Varanasi,JOHNSON THOMAS,Independent,1524
6483,Uttar Pradesh,Varanasi,SANTOSH KUMAR,Rashtriya Vikas Manch Party,1434
