CONSTITUENCY,WINNER_CANDIDATE,WINNER_PARTY,WINNER_VOTES,RUNNER_CANDIDATE,RUNNER_PARTY,RUNNER_VOTES,DIFFERENCE_IN_VOTES
ULUBERIA,"SULTAN AHMED","ALL INDIA TRINAMOOL CONGRESS",570785,"SABIR UDDIN MOLLA","COMMUNIST PARTY OF INDIA (MARXIST)",369563,201222
ETAH,"RAJVEER SINGH (RAJU BHAIYA)","BHARATIYA JANATA PARTY",474978,"KU. DEVENDRA SINGH YADAV","SAMAJWADI PARTY",273977,201001
KOTA,"OM BIRLA","BHARATIYA JANATA PARTY",644822,"IJYARAJ SINGH","INDIAN NATIONAL CONGRESS",444040,200782
SHIRDI,"LOKHANDE SADASHIV KISAN",SHIVSENA,532936,"BHAUSAHEB RAJARAM WAKCHAURE","INDIAN NATIONAL CONGRESS",333014,199922
RANCHI,"RAM TAHAL CHOUDHARY","BHARATIYA JANATA PARTY",448729,"SUBODH KANT SAHAY","INDIAN NATIONAL CONGRESS",249426,199303
MADURAI,R.GOPALAKRISHNAN,"ALL INDIA ANNA DRAVIDA MUNNETRA KAZHAGAM",454167,"V VELUSAMY","DRAVIDA MUNNETRA KAZHAGAM",256731,197436
DARJEELING,S.S.AHLUWALIA,"BHARATIYA JANATA PARTY",488257,"BHAI CHUNG BHUTIA","ALL INDIA TRINAMOOL CONGRESS",291018,197239
HOWRAH,"PRASUN BANERJEE","ALL INDIA TRINAMOOL CONGRESS",488461,"SRIDIP BHATTACHARYA","COMMUNIST PARTY OF INDIA (MARXIST)",291505,196956
KARUR,"THAMBIDURAI M.","ALL INDIA ANNA DRAVIDA MUNNETRA KAZHAGAM",540722,"CHINNASAMY M.","DRAVIDA MUNNETRA KAZHAGAM",345475,195247
MALAPPURAM,"E. AHAMED","INDIAN UNION MUSLIM LEAGUE",437723,P.K.SAINABA,"COMMUNIST PARTY OF INDIA (MARXIST)",242984,194739
KISHANGANJ,"MOHAMMAD ASRARUL HAQUE","INDIAN NATIONAL CONGRESS",493461,"DR DILIP KUMAR JAISWAL","BHARATIYA JANATA PARTY",298849,194612
VILUPPURAM,"RAJENDRAN S","ALL INDIA ANNA DRAVIDA MUNNETRA KAZHAGAM",482704,"MUTHAIYAN K DR","DRAVIDA MUNNETRA KAZHAGAM",289337,193367
NALGONDA,"GUTHA SUKHENDER REDDY","INDIAN NATIONAL CONGRESS",472093,"TERA CHINNAPA REDDY","TELUGU DESAM",278937,193156
"TEHRI GARHWAL","MALA RAJYA LAXMI SHAH","BHARATIYA JANATA PARTY",446733,"SAKET BAHUGUNA","INDIAN NATIONAL CONGRESS",254230,192503
"PURVI CHAMPARAN","RADHA MOHAN SINGH","BHARATIYA JANATA PARTY",400452,"BINOD KUMAR SRIVASTAVA","RASHTRIYA JANATA DAL",208289,192163
ROBERTSGANJ,CHHOTELAL,"BHARATIYA JANATA PARTY",378211,"SHARADA PRASAD","BAHUJAN SAMAJ PARTY",187725,190486
JHANSI,"UMA BHARATI","BHARATIYA JANATA PARTY",575889,"DR. CHANDRAPAL SINGH YADAV","SAMAJWADI PARTY",385422,190467
"EAST DELHI","MAHEISH GIRRI","BHARATIYA JANATA PARTY",572202,"RAJMOHAN GANDHI","AAM AADMI PARTY",381739,190463
KADAPA,"Y.S. AVINASH REDDY","YUVAJANA SRAMIKA RYTHU CONGRESS PARTY",671983,"SRINIVASA REDDY REDDEPPAGARI","TELUGU DESAM",481660,190323
BANSGAON,"KAMLESH PASWAN","BHARATIYA JANATA PARTY",417959,"SADAL PRASAD","BAHUJAN SAMAJ PARTY",228443,189516
BHUBANESWAR,"PRASANNA KUMAR PATASANI","BIJU JANATA DAL",439252,"PRITHIVIRAJ HARICHANDAN","BHARATIYA JANATA PARTY",249775,189477
HOOGHLY,"DR. RATNA DE (NAG)","ALL INDIA TRINAMOOL CONGRESS",614312,"PRADIP SAHA","COMMUNIST PARTY OF INDIA (MARXIST)",425228,189084
NASHIK,"GODSE HEMANT TUKARAM",SHIVSENA,494735,"CHHAGAN BHUJBAL","NATIONALIST CONGRESS PARTY",307399,187336
FATEHPUR,"NIRANJAN JYOTI","BHARATIYA JANATA PARTY",485994,"AFZAL SIDDIQUI","BAHUJAN SAMAJ PARTY",298788,187206
"MUMBAI NORTH CENTRAL","POONAM MAHAJAN ALIAS POONAM VAJENDLA RAO","BHARATIYA JANATA PARTY",478535,"DUTT PRIYA SUNIL","INDIAN NATIONAL CONGRESS",291764,186771
DIBRUGARH,"RAMESWAR TELI","BHARATIYA JANATA PARTY",494364,"PABAN SINGH GHATOWAR","INDIAN NATIONAL CONGRESS",309017,185347
MEDINIPUR,"SANDHYA ROY","ALL INDIA TRINAMOOL CONGRESS",579860,"PRABODH PANDA","COMMUNIST PARTY OF INDIA",395194,184666
GARHWAL,"(MAJ GEN (RETD.) ) BHUWAN CHANDRA KHANDURI (AVSM)","BHARATIYA JANATA PARTY",405690,"(DR) HARAK SINGH RAWAT","INDIAN NATIONAL CONGRESS",221164,184526
"MUMBAI NORTH WEST","GAJANAN CHANDRAKANT KIRTIKAR",SHIVSENA,464820,"KAMAT GURUDAS VASANT","INDIAN NATIONAL CONGRESS",281792,183028
"UDUPI CHIKMAGALUR","SHOBHA KARANDLAJE","BHARATIYA JANATA PARTY",581168,"K JAYAPRAKASH HEGDE","INDIAN NATIONAL CONGRESS",399525,181643
KANDHAMAL,"HEMENDRA CHANDRA SINGH","BIJU JANATA DAL",421458,"HARIHAR KARAN","INDIAN NATIONAL CONGRESS",240441,181017
"CHHOTA UDAIPUR","RAMSINH RATHWA","BHARATIYA JANATA PARTY",607916,"NARANBHAI JEMALABHAI RATHVA","INDIAN NATIONAL CONGRESS",428187,179729
BHADRAK,"ARJUN CHARAN SETHI","BIJU JANATA DAL",502338,"SANGRAM KESHARI JENA","INDIAN NATIONAL CONGRESS",322979,179359
TIRUPPUR,V.SATHYABAMA,"ALL INDIA ANNA DRAVIDA MUNNETRA KAZHAGAM",442778,N.DINESHKUMAR,"DESIYA MURPOKKU DRAVIDA KAZHAGAM",263463,179315
SULTANPUR,"FEROZE VARUN GANDHI","BHARATIYA JANATA PARTY",410348,"PAWAN PANDEY","BAHUJAN SAMAJ PARTY",231446,178902
CHATRA,"SUNIL KUMAR SINGH","BHARATIYA JANATA PARTY",295862,"DHIRAJ PRASAD SAHU","INDIAN NATIONAL CONGRESS",117836,178026
HARDWAR,"RAMESH POKHRIYAL NISHANK","BHARATIYA JANATA PARTY",592320,"RENUKA RAWAT","INDIAN NATIONAL CONGRESS",414498,177822
HATKANANGLE,"RAJU SHETTY","SWABHIMANI PAKSHA",640428,"AWADE KALLAPPA BABURAO","INDIAN NATIONAL CONGRESS",462618,177810
BILASPUR,"LAKHAN LAL SAHU","BHARATIYA JANATA PARTY",561387,"KARUNA SHUKLA","INDIAN NATIONAL CONGRESS",384951,176436
RAMTEK,"KRUPAL BALAJI TUMANE",SHIVSENA,519892,"MUKUL WASNIK","INDIAN NATIONAL CONGRESS",344101,175791
JAMNAGAR,"POONAMBEN HEMATBHAI MAADAM","BHARATIYA JANATA PARTY",484412,"AHIR VIKRAMBHAI ARJANBHAI MADAM","INDIAN NATIONAL CONGRESS",309123,175289
JANJGIR-CHAMPA,"KAMLA PATLE","BHARATIYA JANATA PARTY",518909,"PREM CHAND JAYASI","INDIAN NATIONAL CONGRESS",343948,174961
RAJAMPET,"P.V.MIDHUN REDDY","YUVAJANA SRAMIKA RYTHU CONGRESS PARTY",601752,"D. PURANDESWARI","BHARATIYA JANATA PARTY",426990,174762
BARASAT,"DR. KAKALI GHOSHDOSTIDAR","ALL INDIA TRINAMOOL CONGRESS",525387,"DR. MORTOZA HOSSAIN","ALL INDIA FORWARD BLOC",352246,173141
"FATEHPUR SIKRI",BABULAL,"BHARATIYA JANATA PARTY",426589,"SEEMA UPADHYAY","BAHUJAN SAMAJ PARTY",253483,173106
ETAWAH,"ASHOK KUMAR DOHAREY","BHARATIYA JANATA PARTY",439646,"PREMDAS KATERIYA","SAMAJWADI PARTY",266700,172946
FARIDKOT,"PROF. SADHU SINGH","AAM AADMI PARTY",450751,"PARAMJIT KAUR GULSHAN","SHIROMANI AKALI DAL",278235,172516
MACHHLISHAHR,"RAM CHARITRA NISHAD","BHARATIYA JANATA PARTY",438210,"BHOLANATH ALIAS B.P. SAROJ","BAHUJAN SAMAJ PARTY",266055,172155
AJMER,"SANWAR LAL JAT","BHARATIYA JANATA PARTY",637874,"SACHIN PILOT","INDIAN NATIONAL CONGRESS",465891,171983
RAIPUR,"RAMESH BAIS","BHARATIYA JANATA PARTY",654922,"SATYA NARAYAN SHARMA (SATTU BHAIYA)","INDIAN NATIONAL CONGRESS",483276,171646
ADILABAD,"GODAM NAGESH","TELANGANA RASHTRA SAMITHI",430847,NARESH,"INDIAN NATIONAL CONGRESS",259557,171290
ROHTAK,"DEEPENDER SINGH HOODA","INDIAN NATIONAL CONGRESS",490063,"OM PARKASH DHANKAR","BHARATIYA JANATA PARTY",319436,170627
PANCHMAHAL,"CHAUHAN PRABHATSINH PRATAPSINH","BHARATIYA JANATA PARTY",508274,"RAMSINH PARMAR","INDIAN NATIONAL CONGRESS",337678,170596
KANGRA,"SHANTA KUMAR","BHARATIYA JANATA PARTY",456163,"CHANDER KUMAR","INDIAN NATIONAL CONGRESS",286091,170072
REWA,"JANARDAN MISHRA","BHARATIYA JANATA PARTY",383320,"SUNDERLAL TIWARI","INDIAN NATIONAL CONGRESS",214594,168726
TIRUVANNAMALAI,"VANAROJA R","ALL INDIA ANNA DRAVIDA MUNNETRA KAZHAGAM",500751,"ANNADURAI C N","DRAVIDA MUNNETRA KAZHAGAM",332145,168606
PRATAPGARH,"KUWAR HARIVANSH SINGH","APNA DAL",375789,"ASIF NIZAMUDDIN SIDDIQUE","BAHUJAN SAMAJ PARTY",207567,168222
RAJAHMUNDRY,"MURALI MOHAN MAGANTI","TELUGU DESAM",630573,"BODDU VENKATARAMANA CHOWDARY","YUVAJANA SRAMIKA RYTHU CONGRESS PARTY",463139,167434
NIZAMABAD,"KALVAKUNTLA KAVITHA","TELANGANA RASHTRA SAMITHI",439307,"MADHU YASKHI GOUD","INDIAN NATIONAL CONGRESS",272123,167184
BADAUN,"DHARMENDRA YADAV","SAMAJWADI PARTY",498378,"VAGISH PATHAK","BHARATIYA JANATA PARTY",332031,166347
"MALDAHA DAKSHIN","ABU HASEM KHAN CHOWDHURY","INDIAN NATIONAL CONGRESS",380291,"BISNU PADA ROY","BHARATIYA JANATA PARTY",216180,164111
"NEW DELHI","MEENAKASHI LEKHI","BHARATIYA JANATA PARTY",453350,"ASHISH KHETAN","AAM AADMI PARTY",290642,162708
AURANGABAD,"CHANDRAKANT BHAURAO KHAIRE",SHIVSENA,520902,"PATIL NITIN SURESH","INDIAN NATIONAL CONGRESS",358902,162000
TENKASI,VASANTHI.M,"ALL INDIA ANNA DRAVIDA MUNNETRA KAZHAGAM",424586,DR.KRISHNASAMY.K.,"PUTHIYA TAMILAGAM",262812,161774
GONDA,"KIRTI VARDHAN SINGH","BHARATIYA JANATA PARTY",359643,"NANDITA SHUKLA","SAMAJWADI PARTY",199227,160416
BHIND,"DR. BHAGIRATH PRASAD","BHARATIYA JANATA PARTY",404474,"IMARTI DEVI","INDIAN NATIONAL CONGRESS",244513,159961
BULDHANA,"JADHAV PRATAPRAO GANPATRAO",SHIVSENA,509145,"INGLE KRUSHANARAO GANPATRAO","NATIONALIST CONGRESS PARTY",349566,159579
HAZARIBAGH,"JAYANT SINHA","BHARATIYA JANATA PARTY",406931,"SAURABH NARAIN SINGH","INDIAN NATIONAL CONGRESS",247803,159128
AMROHA,"KANWAR SINGH TANWAR","BHARATIYA JANATA PARTY",528880,"HUMERA AKHTAR","SAMAJWADI PARTY",370666,158214
BHADOHI,"VIRENDRA SINGH","BHARATIYA JANATA PARTY",403544,"RAKESH DHAR TRIPATHI","BAHUJAN SAMAJ PARTY",245505,158039
MAVAL,"APPA ALIAS SHRIRANG CHANDU BARNE",SHIVSENA,512226,"JAGTAP LAXMANBHAU PANDURANG","PEASANTS AND WORKERS PARTY OF INDIA",354829,157397
KEONJHAR,"SAKUNTALA LAGURI","BIJU JANATA DAL",434471,"ANANTA NAYAK","BHARATIYA JANATA PARTY",277154,157317
CHANDAULI,"DR MAHENDRA NATH PANDEY","BHARATIYA JANATA PARTY",414135,"ANIL KUMAR MAURYA","BAHUJAN SAMAJ PARTY",257379,156756
AMRELI,"KACHHADIYA NARANBHAI BHIKHABHAI","BHARATIYA JANATA PARTY",436715,"THUMMAR VIRJIBHAI KESHAVBHAI (VIRJIBHAI THUMMAR)","INDIAN NATIONAL CONGRESS",280483,156232
"DUM DUM","SAUGATA ROY","ALL INDIA TRINAMOOL CONGRESS",483244,"ASIM KUMAR DASGUPTA","COMMUNIST PARTY OF INDIA (MARXIST)",328310,154934
PURULIA,"DR. MRIGANKA MAHATO","ALL INDIA TRINAMOOL CONGRESS",468277,"NARAHARI MAHATO","ALL INDIA FORWARD BLOC",314400,153877
BHARUCH,"VASAVA MANSUKHBHAI DHANJIBHAI","BHARATIYA JANATA PARTY",548902,"PATEL JAYESHBHAI AMBALALBHAI (JAYESH KAKA)","INDIAN NATIONAL CONGRESS",395629,153273
SRERAMPUR,"KALYAN BANERJEE","ALL INDIA TRINAMOOL CONGRESS",514933,"TIRTHANKAR RAY","COMMUNIST PARTY OF INDIA (MARXIST)",362407,152526
MAHARAJGANJ,PANKAJ,"BHARATIYA JANATA PARTY",471542,"JANARDAN SINGH ""SIGRIWAL""","BHARATIYA JANATA PARTY",320753,150789
FARRUKHABAD,"MUKESH RAJPUT","BHARATIYA JANATA PARTY",406195,"RAMESHWAR SINGH YADAV","SAMAJWADI PARTY",255693,150502
TIRUCHIRAPPALLI,KUMAR.P,"ALL INDIA ANNA DRAVIDA MUNNETRA KAZHAGAM",458478,ANBHALAGAN.MU,"DRAVIDA MUNNETRA KAZHAGAM",308002,150476
RATNAGIRI,"VINAYAK BHAURAO RAUT",SHIVSENA,493088,"NILESH NARAYAN RANE","INDIAN NATIONAL CONGRESS",343037,150051
BISHNUPUR,"KHAN SAUMITRA","ALL INDIA TRINAMOOL CONGRESS",578870,"SUSMITA BAURI","COMMUNIST PARTY OF INDIA (MARXIST)",429185,149685
SOLAPUR,"SHARAD BANSODE","BHARATIYA JANATA PARTY",517879,"SHINDE SUSHILKUMAR SAMBHAJIRAO","INDIAN NATIONAL CONGRESS",368205,149674
BHANDARA,"NANABHAU FALGUNRAO PATOLE","BHARATIYA JANATA PARTY",606129,"PATEL PRAFUL MANOHARBHAI","NATIONALIST CONGRESS PARTY",456875,149254
SITAMARHI,"RAM KUMAR SHARMA","RASHTRIYA LOK SAMTA PARTY",411265,"SITARAM YADAV","RASHTRIYA JANATA DAL",263300,147965
SARGUJA,"KAMALBHAN SINGH MARABI","BHARATIYA JANATA PARTY",585336,"RAM DEV RAM","INDIAN NATIONAL CONGRESS",438100,147236
KANCHEEPURAM,"MARAGATHAM K","ALL INDIA ANNA DRAVIDA MUNNETRA KAZHAGAM",499395,"SELVAM G","DRAVIDA MUNNETRA KAZHAGAM",352529,146866
BANGAON,"KAPIL KRISHNA THAKUR","ALL INDIA TRINAMOOL CONGRESS",551213,"DEBESH DAS","COMMUNIST PARTY OF INDIA (MARXIST)",404612,146601
ARARIA,"TASLEEM UDDIN","RASHTRIYA JANATA DAL",407978,"PRADEEP KUMAR SINGH","BHARATIYA JANATA PARTY",261474,146504
JAUNPUR,"KRISHNA PRATAP 'K.P.'","BHARATIYA JANATA PARTY",367149,"SUBHASH PANDEY","BAHUJAN SAMAJ PARTY",220839,146310
GHOSI,"HARINARAYAN RAJBHAR","BHARATIYA JANATA PARTY",379797,"DARA SINGH CHAUHAN","BAHUJAN SAMAJ PARTY",233782,146015
VIRUDHUNAGAR,"RADHAKRISHNAN T","ALL INDIA ANNA DRAVIDA MUNNETRA KAZHAGAM",406694,VAIKO,"MARUMALARCHI DRAVIDA MUNNETRA KAZHAGAM",261143,145551
MOHANLALGANJ,"KAUSHAL KISHORE","BHARATIYA JANATA PARTY",455274,"R.K CHAUDHARY","BAHUJAN SAMAJ PARTY",309858,145416
ZAHIRABAD,"B.B. PATIL","TELANGANA RASHTRA SAMITHI",508661,"SURESH KUMAR SHETKAR","INDIAN NATIONAL CONGRESS",364030,144631
THANJAVUR,PARASURAMAN.K,"ALL INDIA ANNA DRAVIDA MUNNETRA KAZHAGAM",510307,BAALU.T.R,"DRAVIDA MUNNETRA KAZHAGAM",366188,144119
"NORTH EAST DELHI","MANOJ TIWARI","BHARATIYA JANATA PARTY",596125,"ANAND KUMAR","AAM AADMI PARTY",452041,144084
"DAKSHINA KANNADA","NALIN KUMAR KATEEL","BHARATIYA JANATA PARTY",642739,"JANARDHANA POOJARY","INDIAN NATIONAL CONGRESS",499030,143709
NOWGONG,"RAJEN GOHAIN","BHARATIYA JANATA PARTY",494146,"JONJONALI BARUAH","INDIAN NATIONAL CONGRESS",350587,143559
BALASORE,"RABINDRA KUMAR JENA","BIJU JANATA DAL",433768,"PRATAP CHANDRA SARANGI","BHARATIYA JANATA PARTY",291943,141825
CHAMARAJANAGAR,"R. DHRUVANARAYANA","INDIAN NATIONAL CONGRESS",567782,"A. R. KRISHNA MURTHY","BHARATIYA JANATA PARTY",426600,141182
POLLACHI,MAHENDRAN.C,"ALL INDIA ANNA DRAVIDA MUNNETRA KAZHAGAM",417092,ESWARAN.E.R.,"BHARATIYA JANATA PARTY",276118,140974
"UTTARA KANNADA","ANANTKUMAR HEGDE","BHARATIYA JANATA PARTY",546939,"PRASHANT R DESHPANDE","INDIAN NATIONAL CONGRESS",406239,140700
NAWADA,"GIRIRAJ SINGH","BHARATIYA JANATA PARTY",390248,"RAJ BALLABH PRASAD","RASHTRIYA JANATA DAL",250091,140157
BALLIA,"BHARAT SINGH","BHARATIYA JANATA PARTY",359758,"NEERAJ SHEKHAR","SAMAJWADI PARTY",220324,139434
"AMBEDKAR NAGAR","HARI OM PANDEY","BHARATIYA JANATA PARTY",432104,"RAKESH PANDEY","BAHUJAN SAMAJ PARTY",292675,139429
PATAN,"LILADHARBHAI KHODAJI VAGHELA","BHARATIYA JANATA PARTY",518538,"RATHOD BHAVSINHBHAI DAHYABHAI","INDIAN NATIONAL CONGRESS",379819,138719
MATHURAPUR,"CHOUDHURY MOHAN JATUA","ALL INDIA TRINAMOOL CONGRESS",627761,"RINKU NASKAR","COMMUNIST PARTY OF INDIA (MARXIST)",489325,138436
AONLA,"DHARMENDRA KUMAR","BHARATIYA JANATA PARTY",409907,"KUNWAR SARVRAJ SINGH","SAMAJWADI PARTY",271478,138429
"MUMBAI SOUTH CENTRAL","RAHUL RAMESH SHEWALE",SHIVSENA,381275,"EKNATH M. GAIKWAD","INDIAN NATIONAL CONGRESS",242933,138342
AMRAVATI,"ADSUL ANANDRAO VITHOBA",SHIVSENA,467212,"NAVNEET RAVI RANA","NATIONALIST CONGRESS PARTY",329280,137932
"BANGALORE CENTRAL","P.C. MOHAN","BHARATIYA JANATA PARTY",557130,"RIZWAN ARSHAD","INDIAN NATIONAL CONGRESS",419630,137500
DHENKANAL,"TATHAGATA SATPATHY","BIJU JANATA DAL",453277,"RUDRA NARAYAN PANY","BHARATIYA JANATA PARTY",315937,137340
"CHENNAI SOUTH","DR. J. JAYAVARDHAN","ALL INDIA ANNA DRAVIDA MUNNETRA KAZHAGAM",438404,T.K.S.ELANGOVAN,"DRAVIDA MUNNETRA KAZHAGAM",301779,136625
BEED,"MUNDE GOPINATHRAO PANDURANG","BHARATIYA JANATA PARTY",635995,"DHAS SURESH RAMCHANDRA","NATIONALIST CONGRESS PARTY",499541,136454
"KOLKATA DAKSHIN","SUBRATA BAKSHI","ALL INDIA TRINAMOOL CONGRESS",431715,"TATHAGATA ROY","BHARATIYA JANATA PARTY",295376,136339
"CHANDNI CHOWK","DR. HARSH VARDHAN","BHARATIYA JANATA PARTY",437938,ASHUTOSH,"AAM AADMI PARTY",301618,136320
SHEOHAR,"RAMA DEVI","BHARATIYA JANATA PARTY",372506,"MD ANWARUL HAQUE","RASHTRIYA JANATA DAL",236267,136239
GURDASPUR,"VINOD KHANNA","BHARATIYA JANATA PARTY",482255,"PARTAP SINGH BAJWA","INDIAN NATIONAL CONGRESS",346190,136065
ARRAH,"RAJ KUMAR SINGH","BHARATIYA JANATA PARTY",391074,"SRIBHAGWAN SINGH KUSHWAHA","RASHTRIYA JANATA DAL",255204,135870
JUNAGADH,"CHUDASAMA RAJESHBHAI NARANBHAI","BHARATIYA JANATA PARTY",513179,"PUNJABHAI BHIMABHAI VANSH","INDIAN NATIONAL CONGRESS",377347,135832
"TONK-SAWAI MADHOPUR","SUKHBIR SINGH JAUNAPURIA","BHARATIYA JANATA PARTY",548179,"MOHAMMED AZHARUDDIN","INDIAN NATIONAL CONGRESS",412868,135311
MORENA,"ANOOP MISHRA","BHARATIYA JANATA PARTY",375567,"BRINDAWAN SINGH SIKARWAR","BAHUJAN SAMAJ PARTY",242586,132981
BUXAR,"ASHWINI KUMAR CHOUBEY","BHARATIYA JANATA PARTY",319012,"JAGADANAND SINGH","RASHTRIYA JANATA DAL",186674,132338
DHULE,"DR. BHAMRE SUBHASH RAMRAO","BHARATIYA JANATA PARTY",529450,"AMRISHBHAI RASIKLAL PATEL","INDIAN NATIONAL CONGRESS",398727,130723
KURUKSHETRA,"RAJ KUMAR SAINI","BHARATIYA JANATA PARTY",418112,"BALBIR SINGH SAINI","INDIAN NATIONAL LOK DAL",288376,129736
BHIWANI-MAHENDRAGARH,"DHARAMBIR S/O BHALE RAM","BHARATIYA JANATA PARTY",404542,"BAHADUR SINGH","INDIAN NATIONAL LOK DAL",275148,129394
KANNIYAKUMARI,"RADHAKRISHNAN P.","BHARATIYA JANATA PARTY",372906,"VASANTHA KUMAR H.","INDIAN NATIONAL CONGRESS",244244,128662
CHIDAMBARAM,"CHANDRAKASI M","ALL INDIA ANNA DRAVIDA MUNNETRA KAZHAGAM",429536,"THIRUMAAVALAVAN THOL","VIDUTHALAI CHIRUTHAIGAL KATCHI",301041,128495
"MUMBAI SOUTH","ARVIND SAWANT",SHIVSENA,374780,"DEORA MILIND MURLI","INDIAN NATIONAL CONGRESS",246632,128148
DINDIGUL,"UDHAYA KUMAR .M","ALL INDIA ANNA DRAVIDA MUNNETRA KAZHAGAM",510462,"GANDHIRAJAN S","DRAVIDA MUNNETRA KAZHAGAM",382617,127845
BERHAMPUR,"SIDHANT MOHAPATRA","BIJU JANATA DAL",398107,"CHANDRA SEKHAR SAHU","INDIAN NATIONAL CONGRESS",270387,127720
SRIKAKULAM,"RAMMOHAN NAIDU KINJARAPU","TELUGU DESAM",556163,"REDDY SHANTHI","YUVAJANA SRAMIKA RYTHU CONGRESS PARTY",428591,127572
PARBHANI,"JADHAV SANJAY (BANDU) HARIBHAU",SHIVSENA,578455,"BHAMBALE VIJAY MANIKRAO","NATIONALIST CONGRESS PARTY",451300,127155
TIRUNELVELI,PRABAKARAN.K.R.P,"ALL INDIA ANNA DRAVIDA MUNNETRA KAZHAGAM",398139,"DEVADASA SUNDARAM","DRAVIDA MUNNETRA KAZHAGAM",272040,126099
DHAURAHRA,REKHA,"BHARATIYA JANATA PARTY",360357,"DAUD AHMAD","BAHUJAN SAMAJ PARTY",234682,125675
JADAVPUR,"SUGATA BOSE","ALL INDIA TRINAMOOL CONGRESS",584244,"SUJAN CHAKRABORTY","COMMUNIST PARTY OF INDIA (MARXIST)",459041,125203
BASTAR,"DINESH KASHYAP","BHARATIYA JANATA PARTY",385829,"DEEPAK KARMA (BUNTY)","INDIAN NATIONAL CONGRESS",261470,124359
THOOTHUKKUDI,"JEYASINGH THIYAGARAJ NATTERJEE.J","ALL INDIA ANNA DRAVIDA MUNNETRA KAZHAGAM",366052,"JEGAN. P","DRAVIDA MUNNETRA KAZHAGAM",242050,124002
BARDOLI,"VASAVA PARBHUBHAI NAGARBHAI","BHARATIYA JANATA PARTY",622769,"CHAUDHARI TUSHARBHAI AMARSINHBHAI","INDIAN NATIONAL CONGRESS",498885,123884
MAYURBHANJ,"RAMA CHANDRA HANSDAH","BIJU JANATA DAL",393779,"NEPOLE RAGHU MURMU","BHARATIYA JANATA PARTY",270913,122866
GUNA,"JYOTIRADITYA M SCINDIA","INDIAN NATIONAL CONGRESS",517036,"JAIBHANSINGH PAWAIYA","BHARATIYA JANATA PARTY",396244,120792
SAGAR,"LAXMI NARAYAN YADAV","BHARATIYA JANATA PARTY",482580,"GOVIND SINGH RAJPUT","INDIAN NATIONAL CONGRESS",361843,120737
KOTTAYAM,"JOSE K. MANI","KERALA CONGRESS (M)",424194,"ADV.MATHEW T. THOMAS","JANATA DAL (SECULAR)",303595,120599
AMALAPURAM,"DR PANDULA RAVINDRA BABU","TELUGU DESAM",594547,"PINIPE VISWARUPU","YUVAJANA SRAMIKA RYTHU CONGRESS PARTY",473971,120576
RAMANATHAPURAM,"ANWHAR RAAJHAA.A","ALL INDIA ANNA DRAVIDA MUNNETRA KAZHAGAM",405945,"MOHAMED JALEEL .S","DRAVIDA MUNNETRA KAZHAGAM",286621,119324
"VALMIKI NAGAR","SATISH CHANDRA DUBEY","BHARATIYA JANATA PARTY",364011,"PURNMASI RAM","INDIAN NATIONAL CONGRESS",246218,117793
PURNIA,"SANTOSH KUMAR","JANATA DAL (UNITED)",418826,"UDAY SINGH ALIAS PAPPU SINGH","BHARATIYA JANATA PARTY",302157,116669
BAGALKOT,"GADDIGOUDAR PARVTAGOUDA CHANDANAGOUDA","BHARATIYA JANATA PARTY",571548,"AJAY KUMAR SARNAIK","INDIAN NATIONAL CONGRESS",454988,116560
CHHINDWARA,"KAMAL NATH","INDIAN NATIONAL CONGRESS",559755,"CHOUDHARY CHANDRABHAN KUBER SINGH","BHARATIYA JANATA PARTY",443218,116537
BANDA,"BHAIRON PRASAD MISHRA","BHARATIYA JANATA PARTY",342066,"R. K. SINGH PATEL","BAHUJAN SAMAJ PARTY",226278,115788
SIRSA,"CHARANJEET SINGH RORI","INDIAN NATIONAL LOK DAL",506370,"ASHOK TANWAR","INDIAN NATIONAL CONGRESS",390634,115736
"GAYA (SC)","HARI MANJHI","BHARATIYA JANATA PARTY",326230,"RAMJI MANJHI","RASHTRIYA JANATA DAL",210726,115504
KATIHAR,"TARIQ ANWAR","NATIONALIST CONGRESS PARTY",431292,"NIKHIL KUMAR CHOUDHARY","BHARATIYA JANATA PARTY",316552,114740
"BARDHAMAN PURBA","SUNIL KUMAR MONDAL","ALL INDIA TRINAMOOL CONGRESS",574660,"ISWAR CHANDRA DAS","COMMUNIST PARTY OF INDIA (MARXIST)",460181,114479
FIROZABAD,"AKSHAY YADAV","SAMAJWADI PARTY",534583,"PROF. S.P. SINGH BAGHEL","BHARATIYA JANATA PARTY",420524,114059
SIWAN,"OM PRAKASH YADAV","BHARATIYA JANATA PARTY",372670,"HENA SHAHAB","RASHTRIYA JANATA DAL",258823,113847
DHARWAD,"PRALHAD JOSHI","BHARATIYA JANATA PARTY",545395,"VINAY KULKARNI","INDIAN NATIONAL CONGRESS",431738,113657
MANDLA,"FAGGAN SINGH KULASTE","BHARATIYA JANATA PARTY",585720,"OMKAR SINGH MARKAM","INDIAN NATIONAL CONGRESS",475251,110469
KHERI,"AJAY KUMAR","BHARATIYA JANATA PARTY",398578,"ARVIND GIRI","BAHUJAN SAMAJ PARTY",288304,110274
"PASCHIM CHAMPARAN","DR. SANJAY JAISWAL","BHARATIYA JANATA PARTY",371232,"PRAKASH JHA","JANATA DAL (UNITED)",260978,110254
